Date,P (cm),T (degC),ObvQ (cms)
11/20/2014,0,18.64166667,20.3599537
11/21/2014,0,19.3375,16.47916667
11/22/2014,0,21.41666667,14.68055556
11/23/2014,0,20.37083333,14.65046296
11/24/2014,0,20.325,16.23958333
11/25/2014,0,19.44166667,12.23958333
11/26/2014,0,19.49166667,12.51967593
11/27/2014,0,21.5875,12.68055556
11/28/2014,0.014,22.06666667,12.56018519
11/29/2014,0,22.70833333,11.73958333
11/30/2014,0,21.57083333,11.42013889
12/1/2014,1.701,14.575,14.93055556
12/2/2014,0.204,13.50416667,11.59953704
12/3/2014,0.009,17.75,11.76967593
12/4/2014,2.816,11.2125,24.48032407
12/5/2014,0.014,10.50416667,19.84953704
12/6/2014,0,12.91666667,15.0462963
12/7/2014,0,16.375,12.40972222
12/8/2014,0,15.35833333,11.95023148
12/9/2014,0.041,17.5125,12.29050926
12/10/2014,0.06,17.6,17.36574074
12/11/2014,0.629,14.69583333,14.12037037
12/12/2014,0.574,10.225,16.20023148
12/13/2014,0.038,10.56666667,15.06944444
12/14/2014,0,14.36666667,17.70833333
12/15/2014,0,15.87916667,10.6400463
12/16/2014,0.066,10.25,13.87962963
12/17/2014,0,7.679166667,12.06944444
12/18/2014,0,12.125,11.01967593
12/19/2014,0.281,13.3625,9.939814815
12/20/2014,0.142,11.9625,12.37962963
12/21/2014,0,11.86666667,11.56944444
12/22/2014,0,10.40833333,11.12962963
12/23/2014,0,14.09166667,10.59027778
12/24/2014,0,15.58333333,9.920138889
12/25/2014,0.802,13.15833333,11.43634259
12/26/2014,0.074,14.63333333,12.62037037
12/27/2014,1.343,14.0625,15.18981481
12/28/2014,1.568,11.53333333,27.25
12/29/2014,0.007,10.29583333,26.54976852
12/30/2014,0,12.62083333,20.87037037
12/31/2014,0,13.45,15.87962963
1/1/2015,0.004,10.08333333,15.59027778
1/2/2015,0,11.15416667,12.34027778
1/3/2015,0,13.07083333,13.17013889
1/4/2015,0,14.7,11.87037037
1/5/2015,0,16.2875,12.87962963
1/6/2015,0.004,16.88947368,12.09027778
1/7/2015,0.04,12.15909091,11.84027778
1/8/2015,0.012,9.370833333,9.849537037
1/9/2015,0,11.14090909,10.56944444
1/10/2015,0.004,13.075,10.56944444
1/11/2015,0.032,14.7625,12.40972222
1/12/2015,0.067,15.72916667,8.420138889
